,tsne1,tsn2
288,54.114994,-20.65852
289,-0.9436959,82.96165
290,-32.614998,44.295326
291,-23.114206,6.3413343
292,-2.8796685,-86.20285
293,34.11586,21.530825
294,44.432327,36.40212
295,8.275494,19.493364
296,-65.146965,-0.07020964
297,-16.635286,-51.867535
298,-35.727165,-45.675465
299,59.904526,62.590008
300,10.491981,30.775885
301,38.667324,70.51195
302,15.266061,-29.829416
303,10.858627,20.250708
304,51.473682,-2.8203707
305,-0.35103416,-51.698906
306,18.947489,27.22386
307,3.7136767,-67.95074
308,-12.379875,71.52345
309,-41.55003,-45.259785
310,-21.891386,24.03841
311,63.863438,-6.9667673
312,-48.418575,10.1870985
313,45.260605,5.4638524
314,-51.833637,-11.010911
315,31.804428,-13.12697
316,10.24188,1.4485883
317,-12.963628,-63.803394
318,-22.947237,-68.63192
319,-12.824723,35.604084
320,83.56076,-19.035742
321,-53.92047,-26.051058
322,-70.14036,40.033646
323,-49.708473,-6.9212084
324,-71.5747,-39.943493
325,-40.075665,13.25537
326,-16.46153,-22.891224
327,20.593977,-37.15685
328,-24.79073,-46.660732
329,-33.168438,-78.54964
330,10.756113,-9.934768
331,-43.114765,34.80592
332,19.73343,27.694738
333,64.87295,8.754719
334,-24.115776,-41.35076
335,27.095842,5.035115
336,-3.9596567,-8.239324
337,-11.662237,-4.017342
338,38.83963,-71.7417
339,18.152233,-33.158134
340,32.458126,-40.256912
341,90.49903,2.1648972
342,-30.496515,70.37323
343,0.42046422,4.828486
344,60.128304,-42.652332
345,-20.38239,-34.903763
346,-35.8572,20.850857
347,-25.723299,9.825972
348,3.8757336,-11.6529045
349,11.674755,-49.316868
350,-13.707038,69.31935
351,-16.844498,-37.86199
