,tsne1,tsn2
599,27.620855,7.4383593
600,-41.830433,-46.45541
601,21.017275,-15.9782715
602,24.264997,-17.96351
603,28.59236,-10.421538
604,-47.822086,-28.874182
605,-35.375515,-11.17602
606,-13.099729,-29.35278
607,1.6408465,42.65123
608,-53.42233,-24.98046
609,-3.06079,12.773125
610,-24.61793,35.54501
611,16.222073,54.657425
612,-40.109776,31.75089
613,-19.459726,11.697167
614,16.193607,-54.70265
615,8.538239,17.822762
616,5.2947683,-47.98817
617,39.79375,-33.14397
618,-62.01239,-9.138908
619,42.491657,-30.279118
620,-29.896181,-53.252857
621,-9.182342,-34.099094
622,14.557426,-35.60398
623,-29.546118,-54.940235
624,10.757032,24.331406
625,11.698301,35.832123
626,61.71593,35.613148
627,4.6565275,48.767723
628,-12.575508,-46.644867
629,-49.541286,18.725822
630,23.210953,-50.478077
631,70.98178,-13.192287
632,-9.615365,26.486013
633,-44.409084,23.66643
634,-16.093025,22.212753
635,-9.291525,29.74598
636,5.735862,28.111101
637,-13.380818,-6.6401916
638,29.206106,-34.823566
639,46.348534,-49.707035
640,30.192524,39.057487
641,12.67879,24.207907
642,-26.865103,34.782043
643,-24.844797,-5.8677244
644,-8.7412615,-0.5468327
645,-12.065509,4.4053164
646,-2.3506432,-16.527895
647,4.8547134,-46.69758
648,-39.372246,-45.63508
649,39.91681,-22.46726
650,0.013904566,-3.1948726
651,7.0094233,-22.57512
652,18.387531,2.06482
653,-44.22094,30.720663
654,2.5088263,57.95764
655,-26.16436,-49.448143
656,47.403847,-1.6245128
657,-43.243828,-36.073383
658,-39.049328,-32.57484
659,-2.1780064,16.254808
660,-35.63934,-12.056685
661,-40.292988,-37.479362
662,-2.0747614,-37.955536
663,-22.509035,-5.9840937
664,13.517759,-50.241837
665,2.7214718,60.595673
666,-12.330703,-43.435047
667,-15.00363,35.14549
668,-0.7123524,52.94833
669,23.439014,-10.574972
670,-31.363756,17.771553
671,-6.4251304,-30.917007
672,-3.645922,-23.659628
673,14.367707,-57.994377
674,44.209335,-7.535905
675,6.5138073,55.584835
676,34.075657,-29.52582
677,17.101099,8.2845745
678,15.655077,-40.27775
679,-35.17212,-9.395652
680,-23.673895,-51.336227
681,28.535854,-5.564495
682,16.22272,11.448559
683,-13.410425,15.5470705
684,-11.888573,65.45009
685,35.68004,-34.697952
686,-9.433923,-21.55311
687,-1.5904789,-16.846115
688,-11.07971,27.838081
689,-71.00867,-5.8385487
690,6.8896875,34.170395
